Model,BLEU Score,Semantic Coherence,Factual Accuracy,Content Coverage,Topsis Score,Rank
facebook/bart-large-cnn,0.3488121983156154,0.655735972296425,0.4583486473727455,0.3716193256758687,0.7110517755049677,3.0
t5-large,0.3397876196809291,0.7552539741999943,0.4572646019979348,0.4089083535398816,0.8114180354750284,2.0
sshleifer/distilbart-cnn-12-6,0.305259455039259,0.7083274464748222,0.5217209042936393,0.4839188430368327,0.9427408480416223,1.0
google/pegasus-large,0.361715316003006,0.7071036571216202,0.4205615814669096,0.363004447339982,0.6940854515868272,4.0
allenai/led-large-16384-arxiv,0.1529726971909693,0.2438681799302356,0.2840985023975071,0.1863623239869932,0.0,5.0
